Date,Dividend
20161222,0.563000
20160926,0.344000
20160706,0.621000
20160323,0.327000
20151224,0.496000
20150925,0.324000
20150702,0.529000
20150325,0.383000
20141224,0.445000
20140924,0.305000
20140702,0.459000
20140325,0.302000
20131223,0.437000
20130924,0.283000
20130702,0.430000
20130325,0.264000
20121219,0.727000
20120924,0.332000
20120626,0.377000
20120323,0.251000
20111222,0.360000
20110923,0.250000
20110705,0.252000
20110324,0.169000
20101222,0.357000
20100923,0.165000
20100702,0.199000
20100324,0.172000
20091223,0.253000
20090922,0.145000
20090702,0.181000
20090324,0.141000
20081223,0.361000
20080924,0.150000
20080702,0.257000
20080324,0.110000
20071227,0.267000
20070925,0.195000
20070628,0.159000
20070323,0.154000
20061220,0.329000
20060926,0.231000
20060622,0.105000
20060324,0.169000
20051222,0.261000
20050923,0.198000
20050620,0.146000
20050324,0.274000
20041223,0.205500
20040924,0.132500
20040625,0.152500
20040326,0.104500
20031216,0.115000
20031212,0.187500
20030912,0.118500
20030613,0.075000
20030307,0.080000
20021213,0.190000
20020913,0.128000
20020614,0.120500
20020308,0.057500
20011214,0.135000
20011001,0.147000
20010608,0.142000
20010309,0.097000
20001213,0.217000
20000920,0.178000
20000621,0.030000
