id,date,open,high,low,close,volume
1,1/1/1993,43.97,43.97,43.75,43.94,1000000
2,2/1/1993,43.97,45.13,42.81,44.41,5420000
3,3/1/1993,44.56,45.84,44.22,45.19,3020000
4,4/1/1993,45.25,45.25,43.28,44.03,2700000
5,5/3/1993,44.09,45.66,43.84,45.22,1810000
6,6/1/1993,45.38,45.81,44.22,45.06,3440000
7,7/1/1993,45.13,45.22,44.16,44.84,6120000
8,8/2/1993,44.91,46.56,44.84,46.56,5440000
9,9/1/1993,46.41,46.59,44.81,45.94,4370000
10,10/1/1993,45.88,47.16,45.72,46.84,6970000
11,11/1/1993,46.78,47,45.53,46.34,5350000
12,12/1/1993,46.59,47.16,46.38,46.59,6130000
13,1/3/1994,46.59,48.31,46.41,48.22,6840000
14,2/1/1994,48.16,48.28,46.56,46.81,11000000
15,3/1/1994,46.81,47.31,43.53,44.59,14700000
16,4/1/1994,43.34,45.36,43.34,45.09,11400000
17,5/2/1994,45.09,45.94,44.17,45.81,8550000
18,6/1/1994,45.7,46.56,44,44.47,10400000
19,7/1/1994,44.69,46.05,44.38,45.91,5450000
20,8/1/1994,45.94,47.98,45.66,47.66,7950000
21,9/1/1994,47.5,47.72,45.73,46.17,6310000
22,10/3/1994,46.2,47.7,45,47.48,5440000
23,11/1/1994,47.28,47.33,44.61,45.59,4810000
24,12/1/1994,45.64,46.41,44.69,45.56,8570000
25,1/2/1995,45.7,47.23,45.69,47.09,2770000
26,2/1/1995,47.16,49.16,47,49.02,5950000
27,3/1/1995,48.97,50.89,48.22,50.11,4540000
28,4/3/1995,50.09,51.67,50.06,51.59,4400000
29,5/1/1995,51.55,53.64,51.39,53.64,6990000
30,6/1/1995,53.41,55.16,52.75,54.41,5790000
31,7/3/1995,54.47,56.7,54.2,56.16,5510000
32,8/1/1995,56.23,56.8,55.42,56.41,8100000
33,9/1/1995,56.39,58.91,56.34,58.48,7430000
34,10/2/1995,58.48,59.19,57.27,58.31,8940000
35,11/1/1995,58.28,61.2,58.23,60.91,8840000
36,12/1/1995,60.98,62.8,60.58,61.48,9820000
37,1/1/1996,61.41,63.69,59.64,63.67,10700000
38,2/1/1996,63.61,66.69,63.44,63.88,14900000
39,3/1/1996,64.64,65.97,62,64.69,19000000
40,4/1/1996,65,65.81,62.13,65.39,15000000
41,5/1/1996,65.38,68.44,63.08,66.88,17500000
42,6/3/1996,66.89,68.5,66.16,67.11,16900000
43,7/1/1996,67.28,67.7,60.38,64.09,28800000
44,8/1/1996,64.16,67.34,64.06,65.33,15600000
45,9/2/1996,64.47,69.25,64.38,68.63,17200000
46,10/1/1996,68.7,71.63,68.44,70.84,14800000
47,11/1/1996,70.98,76.69,70.27,76.02,24100000
48,12/2/1996,75.92,76.58,71.88,73.84,35000000
49,1/1/1997,74.38,79.69,72.75,78.41,43600000
50,2/3/1997,78.72,82,77.13,79.16,30000000
51,3/3/1997,78.75,81.8,75.25,75.38,37500000
52,4/1/1997,75.25,80.69,73.31,80.09,57700000
53,5/1/1997,80.22,85.56,79.31,85.16,37500000
54,6/2/1997,85.34,90.5,84.08,88.31,47300000
55,7/1/1997,88.5,96.03,88.39,95.31,65400000
56,8/1/1997,95.5,96.63,89.34,90.38,99000000
57,9/1/1997,90.69,96.38,90.25,94.38,78600000
58,10/1/1997,95.25,98.5,84.38,92.06,137000000
59,11/3/1997,93.19,96.81,90.09,95.63,93200000
60,12/1/1997,96.22,99,92.38,97.06,79200000
61,1/1/1998,97.31,99.56,90.91,98.31,105000000
62,2/2/1998,99.91,105.53,99.72,105.13,69700000
63,3/2/1998,105.25,111.53,103.16,109.94,87300000
64,4/1/1998,110.31,113.44,107.63,111.34,119000000
65,5/1/1998,111.75,113.31,107.58,109.03,116000000
66,6/1/1998,108.97,114.69,107.5,113.31,142000000
67,7/1/1998,114.06,119.23,111.31,111.78,155000000
68,8/3/1998,111.78,112.42,95,96,269000000
69,9/1/1998,96.06,107,93.63,101.75,269000000
70,10/1/1998,100.03,110.91,92.22,110,249000000
71,11/2/1998,110.81,119.72,110.19,116.13,136000000
72,12/1/1998,116.13,124.75,113.75,123.31,156000000
73,1/1/1999,123.38,128.5,120.38,127.66,141000000
